
Ana García Pérez, 10 años, 30 kg
Juan Martínez López, 12 años, 40 kg
María Rodríguez González, 8 años, 25 kg
Carlos López Martínez, 14 años, 50 kg
Laura Pérez Rodríguez, 7 años, 28 kg
Sergio González Sánchez, 11 años, 35 kg
Paula Sánchez Martínez, 9 años, 32 kg
Javier Martínez Rodríguez, 13 años, 45 kg
Marta López González, 6 años, 22 kg
Alejandro Rodríguez López, 15 años, 55 kg
Andrea Sánchez Pérez, 5 años, 20 kg
Diego Pérez Sánchez, 14 años, 48 kg
Elena Martínez González, 10 años, 33 kg
Iván González Martínez, 12 años, 42 kg
Carmen López Pérez, 8 años, 27 kg
Luis Rodríguez Sánchez, 11 años, 38 kg
Raquel Sánchez González, 7 años, 26 kg
Jorge Martínez López, 13 años, 47 kg
Silvia Pérez Rodríguez, 9 años, 31 kg
Mario González Martínez, 15 años, 53 kg
Patricia López Rodríguez, 6 años, 23 kg
Alberto Rodríguez López, 14 años, 49 kg
Isabel Sánchez González, 12 años, 41 kg
Francisco Martínez Pérez, 5 años, 19 kg
Clara Pérez Martínez, 13 años, 46 kg
Manuel López Rodríguez, 11 años, 37 kg
Natalia González Pérez, 8 años, 29 kg
Enrique Sánchez López, 10 años, 34 kg
Laura Rodríguez Martínez, 7 años, 24 kg
David Martínez Sánchez, 15 años, 52 kg
Paula Pérez López, 9 años, 30 kg
Antonio López Martínez, 14 años, 50 kg
Ana González Rodríguez, 6 años, 21 kg
Daniel Sánchez Pérez, 13 años, 44 kg
Lucía Rodríguez López, 11 años, 36 kg
Juan Martínez González, 8 años, 28 kg
Marta Sánchez López, 12 años, 43 kg
Alejandro López Rodríguez, 10 años, 32 kg
Carmen González Pérez, 14 años, 51 kg
Sergio Pérez Martínez, 9 años, 31 kg
Isabel Martínez Sánchez, 13 años, 45 kg
Javier Rodríguez López, 7 años, 25 kg
María López González, 15 años, 54 kg
Pablo Martínez Pérez, 11 años, 35 kg
Laura Sánchez Rodríguez, 8 años, 26 kg
Andrés Rodríguez Martínez, 12 años, 42 kg
Cristina Pérez Sánchez, 10 años, 33 kg
Alejandro González López, 14 años, 48 kg
Ana López Rodríguez, 9 años, 29 kg
Alberto Pérez Martínez, 6 años, 22 kg
